  no   depth[km]   vp[km/s]   vs[km/s]   ro[g/cm^3]   qp   qs
1   0.000000   5.800000   3.460000   2.720000   1368.020000   599.990000
2   20.000000   5.800000   3.460000   2.720000   1368.020000   599.990000
3   20.000000   6.500000   3.850000   2.920000   972.770000   403.930000
4   35.000000   6.500000   3.850000   2.920000   972.770000   403.930000
5   35.000000   8.040000   4.480000   3.320000   182.030000   75.600000
6   77.500000   8.045000   4.490000   3.345000   182.030000   75.600000
7   120.000000   8.050500   4.500000   3.426800   182.570000   76.060000
8   165.000000   8.175000   4.509000   3.371100   188.720000   76.550000
9   210.000000   8.300700   4.518400   3.324300   200.970000   79.400000
10   210.000000   8.300700   4.518400   3.324300   338.470000   133.720000
11   260.000000   8.482200   4.609400   3.366300   346.370000   136.380000
12   310.000000   8.665000   4.696400   3.411000   355.850000   139.380000
13   360.000000   8.847600   4.783200   3.457700   366.340000   142.760000
14   410.000000   9.030200   4.870200   3.506800   377.930000   146.570000
15   410.000000   9.360100   5.080600   3.931700   413.660000   162.500000
16   460.000000   9.528000   5.186400   3.927300   417.320000   164.870000
17   510.000000   9.696200   5.292200   3.923300   419.940000   166.800000
18   560.000000   9.864000   5.398900   3.921800   422.550000   168.780000
19   580.000000   9.931200   5.441220   3.921320   423.734000   169.596000
20   600.000000   9.998400   5.483540   3.920840   424.918000   170.412000
21   620.000000   10.065600   5.525840   3.920500   426.146000   171.242000
22   630.000000   10.099200   5.546980   3.920400   426.782000   171.664000
23   645.623285   10.200000   5.610400   3.920100   428.690000   172.930000
24   677.141875   10.790900   5.960700   4.238700   1350.540000   549.450000
25   690.000000   10.869680   6.038160   4.274640   1326.918000   545.868000
26   710.000000   10.922200   6.089800   4.298600   1311.170000   543.480000
27   730.000000   10.975440   6.137880   4.321760   1297.874000   541.140000
28   750.000000   11.028680   6.185960   4.344920   1284.578000   538.800000
29   760.000000   11.055300   6.210000   4.356500   1277.930000   537.630000
30   809.500000   11.135500   6.242400   4.411800   1269.440000   531.910000
31   859.000000   11.222800   6.279900   4.465000   1260.680000   526.320000
32   908.500000   11.306800   6.316400   4.516200   1251.690000   520.830000
33   958.000000   11.389700   6.351900   4.565400   1243.020000   515.460000
34   1007.500000   11.470400   6.386000   4.592600   1234.540000   510.200000
35   1057.000000   11.549300   6.418200   4.619800   1226.520000   505.050000
36   1106.500000   11.626500   6.451400   4.646700   1217.910000   500.000000
37   1156.000000   11.702000   6.482200   4.673500   1210.020000   495.050000
38   1205.500000   11.776800   6.513100   4.700100   1202.040000   490.200000
39   1255.000000   11.849100   6.543100   4.726600   1193.990000   485.440000
40   1304.500000   11.920800   6.572800   4.752800   1186.060000   480.770000
41   1354.000000   11.989100   6.600900   4.779000   1178.190000   476.190000
42   1403.500000   12.057100   6.628500   4.805000   1170.530000   471.700000
43   1453.000000   12.124700   6.655400   4.830700   1163.160000   467.290000
44   1502.500000   12.191200   6.681300   4.856200   1156.040000   462.960000
45   1552.000000   12.255800   6.707000   4.881700   1148.760000   458.720000
46   1601.500000   12.318100   6.732300   4.906900   1141.320000   454.550000
47   1651.000000   12.381300   6.757900   4.932100   1134.010000   450.450000
48   1700.500000   12.442700   6.782000   4.957000   1127.020000   446.430000
49   1750.000000   12.503000   6.805600   4.981700   1120.090000   442.480000
50   1799.500000   12.563800   6.828900   5.006200   1108.580000   436.680000
51   1849.000000   12.622600   6.851700   5.030600   1097.160000   431.030000
52   1898.500000   12.680700   6.874300   5.054800   1085.970000   425.530000
53   1948.000000   12.738400   6.897200   5.078900   1070.380000   418.410000
54   1997.500000   12.795600   6.919400   5.102700   1064.230000   414.940000
