  no   depth[km]   vp[km/s]   vs[km/s]   ro[g/cm^3]   qp   qs
  1      0.00    5.8000    3.4600    2.7200   1368.02    599.99
  2     10.00    5.8000    3.4600    2.7200   1368.02    599.99
  3     20.00    5.8000    3.4600    2.7200   1368.02    599.99
  4     20.00    6.5000    3.8500    2.9200    972.77    403.93
  5     30.00    6.5000    3.8500    2.9200    972.77    403.93
  6     35.00    6.5000    3.8500    2.9200    972.77    403.93
  7     35.00    8.0400    4.4800    3.3200    182.03     75.60
  8     45.00    8.0412    4.4824    3.3259    182.03     75.60
  9     55.00    8.0424    4.4847    3.3318    182.03     75.60
 10     65.00    8.0435    4.4871    3.3376    182.03     75.60
 11     75.00    8.0447    4.4894    3.3435    182.03     75.60
 12     77.50    8.0450    4.4900    3.3450    182.03     75.60
 13     87.50    8.0463    4.4924    3.3642    182.16     75.71
 14     97.50    8.0476    4.4947    3.3835    182.28     75.82
 15    107.50    8.0489    4.4971    3.4027    182.41     75.92
 16    117.50    8.0502    4.4994    3.4220    182.54     76.03
 17    120.00    8.0505    4.5000    3.4268    182.57     76.06
 18    130.00    8.0782    4.5020    3.4144    183.94     76.17
 19    140.00    8.1058    4.5040    3.4020    185.30     76.28
 20    150.00    8.1335    4.5060    3.3897    186.67     76.39
 21    160.00    8.1612    4.5080    3.3773    188.04     76.50
 22    165.00    8.1750    4.5090    3.3711    188.72     76.55
 23    175.00    8.2029    4.5111    3.3607    191.44     77.18
 24    185.00    8.2309    4.5132    3.3503    194.16     77.82
 25    195.00    8.2588    4.5153    3.3399    196.89     78.45
 26    205.00    8.2867    4.5174    3.3295    199.61     79.08
 27    210.00    8.3007    4.5184    3.3243    200.97     79.40
 28    210.00    8.3007    4.5184    3.3243    338.47    133.72
 29    220.00    8.3370    4.5366    3.3327    340.05    134.25
 30    230.00    8.3733    4.5548    3.3411    341.63    134.78
 31    240.00    8.4096    4.5730    3.3495    343.21    135.32
 32    250.00    8.4459    4.5912    3.3579    344.79    135.85
 33    260.00    8.4822    4.6094    3.3663    346.37    136.38
 34    270.00    8.5188    4.6268    3.3752    348.27    136.98
 35    280.00    8.5553    4.6442    3.3842    350.16    137.58
 36    290.00    8.5919    4.6616    3.3931    352.06    138.18
 37    300.00    8.6284    4.6790    3.4021    353.95    138.78
 38    310.00    8.6650    4.6964    3.4110    355.85    139.38
 39    320.00    8.7015    4.7138    3.4203    357.95    140.06
 40    330.00    8.7380    4.7311    3.4297    360.05    140.73
 41    340.00    8.7746    4.7485    3.4390    362.14    141.41
 42    350.00    8.8111    4.7658    3.4484    364.24    142.08
 43    360.00    8.8476    4.7832    3.4577    366.34    142.76
 44    370.00    8.8841    4.8006    3.4675    368.66    143.52
 45    380.00    8.9206    4.8180    3.4773    370.98    144.28
 46    390.00    8.9572    4.8354    3.4872    373.29    145.05
 47    400.00    8.9937    4.8528    3.4970    375.61    145.81
 48    410.00    9.0302    4.8702    3.5068    377.93    146.57
 49    410.00    9.3601    5.0806    3.9317    413.66    162.50
 50    420.00    9.3937    5.1018    3.9308    414.39    162.97
 51    430.00    9.4273    5.1229    3.9299    415.12    163.45
 52    440.00    9.4608    5.1441    3.9291    415.86    163.92
 53    450.00    9.4944    5.1652    3.9282    416.59    164.40
 54    460.00    9.5280    5.1864    3.9273    417.32    164.87
 55    470.00    9.5616    5.2076    3.9265    417.84    165.26
 56    480.00    9.5953    5.2287    3.9257    418.37    165.64
 57    490.00    9.6289    5.2499    3.9249    418.89    166.03
 58    500.00    9.6626    5.2710    3.9241    419.42    166.41
 59    510.00    9.6962    5.2922    3.9233    419.94    166.80
 60    520.00    9.7298    5.3135    3.9230    420.46    167.20
 61    530.00    9.7633    5.3349    3.9227    420.98    167.59
 62    540.00    9.7969    5.3562    3.9224    421.51    167.99
 63    550.00    9.8304    5.3776    3.9221    422.03    168.38
 64    560.00    9.8640    5.3989    3.9218    422.55    168.78
 65    570.00    9.8976    5.4201    3.9216    423.14    169.19
 66    580.00    9.9312    5.4412    3.9213    423.73    169.60
 67    590.00    9.9648    5.4624    3.9211    424.33    170.00
 68    600.00    9.9984    5.4835    3.9208    424.92    170.41
 69    610.00   10.0320    5.5047    3.9206    425.51    170.82
 70    620.00   10.0656    5.5258    3.9205    426.15    171.24
 71    630.00   10.0992    5.5470    3.9204    426.78    171.66
 72    640.00   10.1328    5.5681    3.9203    427.42    172.09
 73    650.00   10.1664    5.5893    3.9202    428.05    172.51
 74    660.00   10.2000    5.6104    3.9201    428.69    172.93
 75    660.00   10.7909    5.9607    4.2387   1350.54    549.45
 76    670.00   10.8172    5.9865    4.2507   1342.67    548.26
 77    680.00   10.8434    6.0123    4.2627   1334.79    547.06
 78    690.00   10.8697    6.0382    4.2746   1326.92    545.87
 79    700.00   10.8959    6.0640    4.2866   1319.04    544.67
 80    710.00   10.9222    6.0898    4.2986   1311.17    543.48
 81    720.00   10.9488    6.1138    4.3102   1304.52    542.31
 82    730.00   10.9754    6.1379    4.3218   1297.87    541.14
 83    740.00   11.0021    6.1619    4.3333   1291.23    539.97
 84    750.00   11.0287    6.1860    4.3449   1284.58    538.80
 85    760.00   11.0553    6.2100    4.3565   1277.93    537.63
 86    770.00   11.0715    6.2165    4.3677   1276.21    536.47
 87    780.00   11.0877    6.2231    4.3788   1274.50    535.32
 88    790.00   11.1039    6.2296    4.3900   1272.78    534.16
 89    800.00   11.1201    6.2362    4.4012   1271.07    533.01
 90    809.50   11.1355    6.2424    4.4118   1269.44    531.91
 91    819.50   11.1531    6.2500    4.4225   1267.67    530.78
 92    829.50   11.1708    6.2576    4.4333   1265.90    529.65
 93    839.50   11.1884    6.2651    4.4440   1264.13    528.52
 94    849.50   11.2060    6.2727    4.4548   1262.36    527.39
 95    859.00   11.2228    6.2799    4.4650   1260.68    526.32
 96    869.00   11.2398    6.2873    4.4753   1258.86    525.21
 97    879.00   11.2567    6.2946    4.4857   1257.05    524.10
 98    889.00   11.2737    6.3020    4.4960   1255.23    522.99
 99    899.00   11.2907    6.3094    4.5064   1253.42    521.88
100    908.50   11.3068    6.3164    4.5162   1251.69    520.83
101    918.50   11.3235    6.3236    4.5261   1249.94    519.75
102    928.50   11.3403    6.3307    4.5361   1248.19    518.66
103    938.50   11.3570    6.3379    4.5460   1246.44    517.58
104    948.50   11.3738    6.3451    4.5560   1244.68    516.49
105    958.00   11.3897    6.3519    4.5654   1243.02    515.46
106    968.00   11.4060    6.3588    4.5709   1241.31    514.40
107    978.00   11.4223    6.3657    4.5764   1239.59    513.33
108    988.00   11.4386    6.3726    4.5819   1237.88    512.27
109    998.00   11.4549    6.3795    4.5874   1236.17    511.21
110   1007.50   11.4704    6.3860    4.5926   1234.54    510.20
111   1017.50   11.4863    6.3925    4.5981   1232.92    509.16
112   1027.50   11.5023    6.3990    4.6036   1231.30    508.12
113   1037.50   11.5182    6.4055    4.6091   1229.68    507.08
114   1047.50   11.5342    6.4120    4.6146   1228.06    506.04
115   1057.00   11.5493    6.4182    4.6198   1226.52    505.05
116   1067.00   11.5649    6.4249    4.6252   1224.78    504.03
117   1077.00   11.5805    6.4316    4.6307   1223.04    503.01
118   1087.00   11.5961    6.4383    4.6361   1221.30    501.99
119   1097.00   11.6117    6.4450    4.6415   1219.56    500.97
120   1106.50   11.6265    6.4514    4.6467   1217.91    500.00
121   1116.50   11.6418    6.4576    4.6521   1216.32    499.00
122   1126.50   11.6570    6.4638    4.6575   1214.72    498.00
123   1136.50   11.6723    6.4701    4.6629   1213.13    497.00
124   1146.50   11.6875    6.4763    4.6684   1211.53    496.00
125   1156.00   11.7020    6.4822    4.6735   1210.02    495.05
126   1166.00   11.7171    6.4884    4.6789   1208.41    494.07
127   1176.00   11.7322    6.4947    4.6842   1206.80    493.09
128   1186.00   11.7473    6.5009    4.6896   1205.18    492.11
129   1196.00   11.7624    6.5072    4.6950   1203.57    491.13
130   1205.50   11.7768    6.5131    4.7001   1202.04    490.20
131   1215.50   11.7914    6.5192    4.7055   1200.41    489.24
132   1225.50   11.8060    6.5252    4.7108   1198.79    488.28
133   1235.50   11.8206    6.5313    4.7162   1197.16    487.32
134   1245.50   11.8352    6.5373    4.7215   1195.53    486.35
135   1255.00   11.8491    6.5431    4.7266   1193.99    485.44
136   1265.00   11.8636    6.5491    4.7319   1192.39    484.50
137   1275.00   11.8781    6.5551    4.7372   1190.79    483.55
138   1285.00   11.8926    6.5611    4.7425   1189.18    482.61
139   1295.00   11.9070    6.5671    4.7478   1187.58    481.67
140   1304.50   11.9208    6.5728    4.7528   1186.06    480.77
141   1314.50   11.9346    6.5785    4.7581   1184.47    479.84
142   1324.50   11.9484    6.5842    4.7634   1182.88    478.92
143   1334.50   11.9622    6.5898    4.7687   1181.29    477.99
144   1344.50   11.9760    6.5955    4.7740   1179.70    477.07
145   1354.00   11.9891    6.6009    4.7790   1178.19    476.19
146   1364.00   12.0028    6.6065    4.7843   1176.64    475.28
147   1374.00   12.0166    6.6121    4.7895   1175.10    474.38
148   1384.00   12.0303    6.6176    4.7948   1173.55    473.47
149   1394.00   12.0440    6.6232    4.8000   1172.00    472.56
150   1403.50   12.0571    6.6285    4.8050   1170.53    471.70
151   1413.50   12.0708    6.6339    4.8102   1169.04    470.81
152   1423.50   12.0844    6.6394    4.8154   1167.55    469.92
153   1433.50   12.0981    6.6448    4.8206   1166.06    469.03
154   1443.50   12.1117    6.6502    4.8258   1164.57    468.14
155   1453.00   12.1247    6.6554    4.8307   1163.16    467.29
156   1463.00   12.1381    6.6606    4.8359   1161.72    466.42
157   1473.00   12.1516    6.6659    4.8410   1160.28    465.54
158   1483.00   12.1650    6.6711    4.8462   1158.84    464.67
159   1493.00   12.1784    6.6763    4.8513   1157.41    463.79
160   1502.50   12.1912    6.6813    4.8562   1156.04    462.96
161   1512.50   12.2043    6.6865    4.8614   1154.57    462.10
162   1522.50   12.2173    6.6917    4.8665   1153.10    461.25
163   1532.50   12.2304    6.6969    4.8717   1151.63    460.39
