no   depth[km]   vp[km/s]   vs[km/s]   ro[g/cm^3]   qp   qs   
1   0.0   5.8   3.46   2.72   1368.02   599.99   
2   20.0   5.8   3.46   2.72   1368.02   599.99   
3   20.0   6.5   3.85   2.92   972.77   403.93   
4   35.0   6.5   3.85   2.92   972.77   403.93   
5   35.0   8.04   4.48   3.32   182.03   75.6   
6   77.5   8.045   4.49   3.345   182.03   75.6   
7   120.0   8.0505   4.5   3.4268   182.57   76.06   
8   165.0   8.175   4.509   3.3711   188.72   76.55   
9   210.0   8.3007   4.5184   3.3243   200.97   79.4   
10   210.0   8.3007   4.5184   3.3243   338.47   133.72   
11   260.0   8.4822   4.6094   3.3663   346.37   136.38   
12   310.0   8.665   4.6964   3.411   355.85   139.38   
13   360.0   8.8476   4.7832   3.4577   366.34   142.76   
14   410.0   9.0302   4.8702   3.5068   377.93   146.57   
15   410.0   9.3601   5.0806   3.9317   413.66   162.5   
16   460.0   9.528   5.1864   3.9273   417.32   164.87   
17   510.0   9.6962   5.2922   3.9233   419.94   166.8   
18   560.0   9.8991   5.3989   3.9218   422.55   168.78   
19   580.0   10.0645   5.4412   3.9213   423.73   169.6   
20   600.0   10.0506   5.4835   3.9208   424.92   170.41   
21   620.0   10.1177   5.5258   3.9205   426.15   171.24   
22   630.0   10.1474   5.547   3.9204   426.78   171.66   
23   630.5   10.1462   5.5483   3.9204   426.82   171.69   
24   631.0   10.145   5.5496   3.9204   426.86   171.72   
25   631.5   10.1439   5.5509   3.9204   426.9   171.74   
26   632.0   10.1429   5.5523   3.9204   426.94   171.77   
27   632.5   10.1419   5.5536   3.9204   426.98   171.8   
28   633.0   10.141   5.5549   3.9204   427.02   171.82   
29   633.5   10.14   5.5562   3.9204   427.06   171.85   
30   634.0   10.1395   5.5575   3.9204   427.1   171.87   
31   634.5   10.1402   5.5588   3.9203   427.14   171.9   
32   635.0   10.1408   5.5601   3.9203   427.18   171.93   
33   635.5   10.1416   5.5615   3.9203   427.22   171.95   
34   636.0   10.1432   5.5628   3.9203   427.26   171.98   
35   636.5   10.1449   5.5641   3.9203   427.3   172.01   
36   637.0   10.1465   5.5654   3.9203   427.34   172.03   
37   637.5   10.1481   5.5667   3.9203   427.38   172.06   
38   638.0   10.1497   5.568   3.9203   427.42   172.08   
39   638.5   10.1514   5.5694   3.9203   427.46   172.11   
40   639.0   10.153   5.5707   3.9203   427.49   172.14   
41   639.5   10.1546   5.572   3.9203   427.53   172.16   
42   640.0   10.1576   5.5733   3.9203   427.57   172.19   
43   640.5   10.1609   5.5746   3.9203   427.61   172.22   
