no   depth[km]   vp[km/s]   vs[km/s]   ro[g/cm^3]   qp   qs   
1   0.0   5.8   3.46   2.72   1368.02   599.99   
2   20.0   5.8   3.46   2.72   1368.02   599.99   
3   20.0   6.5   3.85   2.92   972.77   403.93   
4   35.0   6.5   3.85   2.92   972.77   403.93   
5   35.0   8.04   4.48   3.32   182.03   75.6   
6   77.5   8.045   4.49   3.345   182.03   75.6   
7   120.0   8.0505   4.5   3.4268   182.57   76.06   
8   165.0   8.175   4.509   3.3711   188.72   76.55   
9   210.0   8.3007   4.5184   3.3243   200.97   79.4   
10   210.0   8.3007   4.5184   3.3243   338.47   133.72   
11   260.0   8.4822   4.6094   3.3663   346.37   136.38   
12   310.0   8.665   4.6964   3.411   355.85   139.38   
13   360.0   8.8476   4.7832   3.4577   366.34   142.76   
14   410.0   9.0302   4.8702   3.5068   377.93   146.57   
15   410.0   9.3601   5.0806   3.9317   413.66   162.5   
16   460.0   9.528   5.1864   3.9273   417.32   164.87   
17   510.0   9.6962   5.2922   3.9233   419.94   166.8   
18   560.0   9.817   5.3989   3.9218   422.55   168.78   
19   580.0   9.965   5.4412   3.9213   423.73   169.6   
20   600.0   10.0668   5.4835   3.9208   424.92   170.41   
21   620.0   10.0958   5.5258   3.9205   426.15   171.24   
22   630.0   10.0302   5.547   3.9204   426.78   171.66   
23   630.5   10.0341   5.5477   3.9204   426.81   171.68   
24   631.0   10.0379   5.5485   3.9204   426.83   171.69   
25   631.5   10.0418   5.5493   3.9204   426.85   171.71   
26   632.0   10.0456   5.55   3.9204   426.87   171.73   
27   632.5   10.0494   5.5508   3.9204   426.9   171.74   
28   633.0   10.0533   5.5516   3.9204   426.92   171.76   
29   633.5   10.0567   5.5523   3.9204   426.94   171.77   
30   634.0   10.06   5.5531   3.9204   426.97   171.79   
31   634.5   10.0631   5.5538   3.9204   426.99   171.8   
32   635.0   10.0657   5.5546   3.9204   427.01   171.82   
33   635.5   10.0683   5.5554   3.9204   427.03   171.83   
34   636.0   10.0709   5.5561   3.9204   427.06   171.85   
35   636.5   10.0734   5.5569   3.9204   427.08   171.86   
36   637.0   10.076   5.5577   3.9203   427.1   171.88   
37   637.5   10.0786   5.5584   3.9203   427.13   171.89   
38   638.0   10.0812   5.5592   3.9203   427.15   171.91   
39   638.5   10.0838   5.5599   3.9203   427.17   171.92   
40   639.0   10.0864   5.5607   3.9203   427.19   171.94   
41   639.5   10.089   5.5615   3.9203   427.22   171.95   
42   640.0   10.0916   5.5622   3.9203   427.24   171.97   
43   640.5   10.0942   5.563   3.9203   427.26   171.98   
