no   depth[km]   vp[km/s]   vs[km/s]   ro[g/cm^3]   qp   qs   
1   0.0   5.8   3.46   2.72   1368.02   599.99   
2   20.0   5.8   3.46   2.72   1368.02   599.99   
3   20.0   6.5   3.85   2.92   972.77   403.93   
4   35.0   6.5   3.85   2.92   972.77   403.93   
5   35.0   8.04   4.48   3.32   182.03   75.6   
6   77.5   8.045   4.49   3.345   182.03   75.6   
7   120.0   8.0505   4.5   3.4268   182.57   76.06   
8   165.0   8.175   4.509   3.3711   188.72   76.55   
9   210.0   8.3007   4.5184   3.3243   200.97   79.4   
10   210.0   8.3007   4.5184   3.3243   338.47   133.72   
11   260.0   8.4822   4.6094   3.3663   346.37   136.38   
12   310.0   8.665   4.6964   3.411   355.85   139.38   
13   360.0   8.8476   4.7832   3.4577   366.34   142.76   
14   410.0   9.0302   4.8702   3.5068   377.93   146.57   
15   410.0   9.3601   5.0806   3.9317   413.66   162.5   
16   460.0   9.528   5.1864   3.9273   417.32   164.87   
17   510.0   9.6962   5.2922   3.9233   419.94   166.8   
18   560.0   9.8221   5.3989   3.9218   422.55   168.78   
19   580.0   9.9604   5.4412   3.9213   423.73   169.6   
20   600.0   10.0202   5.4835   3.9208   424.92   170.41   
21   620.0   9.9467   5.5258   3.9205   426.15   171.24   
22   630.0   9.944   5.547   3.9204   426.78   171.66   
23   630.5   9.953   5.5493   3.9204   426.85   171.71   
24   631.0   9.9615   5.5515   3.9204   426.92   171.75   
25   631.5   9.97   5.5538   3.9204   426.99   171.8   
26   632.0   9.9785   5.556   3.9204   427.05   171.84   
27   632.5   9.9869   5.5583   3.9203   427.12   171.89   
28   633.0   9.9954   5.5605   3.9203   427.19   171.93   
29   633.5   10.0039   5.5628   3.9203   427.26   171.98   
30   634.0   10.0124   5.5651   3.9203   427.33   172.02   
31   634.5   10.0177   5.5673   3.9203   427.39   172.07   
32   635.0   10.0227   5.5696   3.9203   427.46   172.11   
33   635.5   10.0276   5.5718   3.9203   427.53   172.16   
34   636.0   10.0326   5.5741   3.9203   427.6   172.2   
35   636.5   10.0375   5.5763   3.9203   427.67   172.25   
36   637.0   10.0425   5.5786   3.9203   427.73   172.3   
37   637.5   10.0474   5.5808   3.9202   427.8   172.34   
38   638.0   10.0524   5.5831   3.9202   427.87   172.39   
39   638.5   10.0574   5.5854   3.9202   427.94   172.43   
40   639.0   10.0623   5.5876   3.9202   428.0   172.48   
41   639.5   10.0649   5.5899   3.9202   428.07   172.52   
42   640.0   10.0648   5.5921   3.9202   428.14   172.57   
43   640.5   10.0599   5.5944   3.9202   428.21   172.61   
