no   depth[km]   vp[km/s]   vs[km/s]   ro[g/cm^3]   qp   qs   
1   0.0   5.8   3.46   2.72   1368.02   599.99   
2   20.0   5.8   3.46   2.72   1368.02   599.99   
3   20.0   6.5   3.85   2.92   972.77   403.93   
4   35.0   6.5   3.85   2.92   972.77   403.93   
5   35.0   8.04   4.48   3.32   182.03   75.6   
6   77.5   8.045   4.49   3.345   182.03   75.6   
7   120.0   8.0505   4.5   3.4268   182.57   76.06   
8   165.0   8.175   4.509   3.3711   188.72   76.55   
9   210.0   8.3007   4.5184   3.3243   200.97   79.4   
10   210.0   8.3007   4.5184   3.3243   338.47   133.72   
11   260.0   8.4822   4.6094   3.3663   346.37   136.38   
12   310.0   8.665   4.6964   3.411   355.85   139.38   
13   360.0   8.8476   4.7832   3.4577   366.34   142.76   
14   410.0   9.0302   4.8702   3.5068   377.93   146.57   
15   410.0   9.3601   5.0806   3.9317   413.66   162.5   
16   460.0   9.528   5.1864   3.9273   417.32   164.87   
17   510.0   9.6962   5.2922   3.9233   419.94   166.8   
18   560.0   9.973786458706856   5.3989   3.9218   422.55   168.78   
19   580.0   9.942257943531633   5.44122   3.92132   423.734   169.596   
20   600.0   10.003449919981062   5.48354   3.92084   424.918   170.412   
21   620.0   9.942676380057335   5.52584   3.9205   426.146   171.242   
22   630.0   9.944555379981994   5.54698   3.9204   426.782   171.664   
23   648.7512114644051   10.097886340498924   5.6104   3.9201   428.69   172.93   
24   670.0443255901337   10.812809207011641   5.9607   4.2387   1350.54   549.45   
25   690.0   10.922614250292218   6.03816   4.27464   1326.9180000000001   545.868   
26   710.0   11.065786384596944   6.0898   4.2986   1311.17   543.48   
27   730.0   11.073654550832464   6.13788   4.32176   1297.874   541.14   
28   750.0   10.806453019882442   6.18596   4.34492   1284.578   538.8   
29   760.0   10.83105107211578   6.21   4.3565   1277.93   537.63   
30   809.5   11.056008955424279   6.2424   4.4118   1269.44   531.91   
31   859.0   11.49222013087201   6.2799   4.465   1260.68   526.32   
32   908.5   11.197274921328903   6.3164   4.5162   1251.69   520.83   
33   958.0   11.3897   6.3519   4.5654   1243.02   515.46   
34   1007.5   11.4704   6.386   4.5926   1234.54   510.2   
35   1057.0   11.5493   6.4182   4.6198   1226.52   505.05   
36   1106.5   11.6265   6.4514   4.6467   1217.91   500.0   
37   1156.0   11.702   6.4822   4.6735   1210.02   495.05   
38   1205.5   11.7768   6.5131   4.7001   1202.04   490.2   
39   1255.0   11.8491   6.5431   4.7266   1193.99   485.44   
40   1304.5   11.9208   6.5728   4.7528   1186.06   480.77   
