no   depth[km]   vp[km/s]   vs[km/s]   ro[g/cm^3]   qp   qs   
1   0.0   5.8   3.46   2.72   1368.02   599.99   
2   20.0   5.8   3.46   2.72   1368.02   599.99   
3   20.0   6.5   3.85   2.92   972.77   403.93   
4   35.0   6.5   3.85   2.92   972.77   403.93   
5   35.0   8.04   4.48   3.32   182.03   75.6   
6   77.5   8.045   4.49   3.345   182.03   75.6   
7   120.0   8.0505   4.5   3.4268   182.57   76.06   
8   165.0   8.175   4.509   3.3711   188.72   76.55   
9   210.0   8.3007   4.5184   3.3243   200.97   79.4   
10   210.0   8.3007   4.5184   3.3243   338.47   133.72   
11   260.0   8.4822   4.6094   3.3663   346.37   136.38   
12   310.0   8.665   4.6964   3.411   355.85   139.38   
13   360.0   8.8476   4.7832   3.4577   366.34   142.76   
14   410.0   9.0302   4.8702   3.5068   377.93   146.57   
15   410.0   9.3601   5.0806   3.9317   413.66   162.5   
16   460.0   9.528   5.1864   3.9273   417.32   164.87   
17   510.0   9.6962   5.2922   3.9233   419.94   166.8   
18   560.0   9.7523   5.3989   3.9218   422.55   168.78   
19   580.0   9.9835   5.4412   3.9213   423.73   169.6   
20   600.0   9.8108   5.4835   3.9208   424.92   170.41   
21   620.0   9.9404   5.5258   3.9205   426.15   171.24   
22   630.0   9.9486   5.5472   3.9204   426.79   171.67   
23   630.5   9.9634   5.5717   3.9203   427.53   172.16   
24   631.0   9.9713   5.5963   3.9202   428.26   172.65   
25   631.5   9.9792   5.6123   3.9219   433.8   175.02   
26   632.0   9.9861   5.6169   3.926   445.87   179.95   
27   632.5   9.9907   5.6215   3.9302   457.94   184.88   
28   633.0   9.9953   5.6261   3.9344   470.01   189.81   
29   633.5   9.9999   5.6307   3.9386   482.08   194.74   
30   634.0   10.0045   5.6353   3.9427   494.15   199.67   
31   634.5   10.0091   5.6399   3.9469   506.22   204.6   
32   635.0   10.0137   5.6444   3.9511   518.29   209.53   
33   635.5   10.0183   5.649   3.9552   530.36   214.46   
34   636.0   10.0229   5.6536   3.9594   542.43   219.39   
35   636.5   10.0275   5.6582   3.9636   554.5   224.32   
36   637.0   10.0321   5.6628   3.9678   566.57   229.25   
37   637.5   10.0367   5.6674   3.9719   578.64   234.18   
38   638.0   10.0413   5.672   3.9761   590.71   239.11   
39   638.5   10.0459   5.6766   3.9803   602.78   244.04   
40   639.0   10.0505   5.6811   3.9844   614.85   248.97   
41   639.5   10.0551   5.6857   3.9886   626.92   253.9   
42   640.0   10.0597   5.6903   3.9928   638.99   258.83   
43   640.5   10.0643   5.6949   3.997   651.06   263.76   
